DATASET = Randomly generated instance set (z0z0z9cz9cz0z0z2z5z1zkz1z34zazaz1z3z4s8zt9gz1zaz0zaz1zaz0zv8zyzyzyzyzyzwz)
NAME = Randomly generated instance (846)

DAYS = 10
CAPACITY = 31
MAX_TRIP_DISTANCE = 26745
DEPOT_COORDINATE = 0

VEHICLE_COST = 10000000
VEHICLE_DAY_COST = 100000
DISTANCE_COST = 100

TOOLS = 2
1	18	114	1
2	20	141	1

COORDINATES = 300
0	3976	3992
1	8838	6142
2	8220	6223
3	8447	6267
4	8725	6298
5	6794	6331
6	8173	6477
7	7505	6526
8	8453	6548
9	7824	6573
10	7287	6576
11	8663	6602
12	3341	6625
13	7590	6648
14	7279	6665
15	7819	6739
16	3850	6782
17	7129	6837
18	8062	6851
19	4663	6866
20	4153	6897
21	8043	6900
22	7447	6938
23	8490	6946
24	7494	6993
25	7485	7033
26	4505	7093
27	7747	7100
28	7938	7101
29	8242	7105
30	4419	7115
31	7121	7183
32	7269	7203
33	9326	7209
34	6719	7299
35	7480	7327
36	4284	4373
37	7608	7620
38	7180	7757
39	7108	7792
40	4048	7829
41	6079	7846
42	7145	7864
43	7296	7912
44	9704	7975
45	7521	8068
46	6210	8134
47	5920	3197
48	7084	8202
49	6853	8295
50	9634	6002
51	7513	8323
52	5788	8324
53	7666	8357
54	9351	8361
55	3578	8402
56	8318	8429
57	5729	8460
58	3868	8482
59	6137	8556
60	6332	8568
61	6283	8630
62	9047	8646
63	6386	8717
64	7466	8566
65	6321	8753
66	9389	8844
67	8673	4583
68	9854	8897
69	5847	8924
70	8017	8960
71	3162	2599
72	6324	9063
73	8548	9096
74	9466	9205
75	8756	9235
76	6348	9281
77	7512	9288
78	9006	9326
79	7991	6673
80	8418	9476
81	7102	9504
82	7017	9519
83	3878	4696
84	8466	9561
85	8981	9605
86	9481	8059
87	4765	2778
88	8095	8812
89	2556	2860
90	6503	2902
91	8457	4892
92	2977	4944
93	8125	4965
94	8455	6102
95	4525	5143
96	5636	3031
97	8321	9323
98	6818	2519
99	7698	9093
100	6688	58
101	6717	115
102	9262	5846
103	8643	7175
104	7797	9207
105	5361	8147
106	7400	5250
107	6287	888
108	6479	936
109	8758	5267
110	6733	1168
111	2942	4966
112	6471	1223
113	8717	7322
114	6613	1371
115	7046	5372
116	6486	1602
117	8730	5379
118	7910	5409
119	8114	5418
120	67	1875
121	6185	2057
122	7687	5456
123	5060	2126
124	6286	2152
125	6382	2244
126	5400	2244
127	9359	5502
128	6900	5513
129	6700	2447
130	6860	2450
131	6303	2452
132	6790	2499
133	3055	2534
134	611	2542
135	4438	3537
136	7105	2633
137	4859	2666
138	6124	2720
139	3822	2737
140	5723	2779
141	308	2819
142	8105	7822
143	2335	2903
144	5856	2911
